Index,H_web_height,h_flange_thick,B_flange_width,b_web_thick,r_fillet,Material,Str/w (N/g),G,N,Column 11,,
0,19.447,2.776,8.454,4.762,0.301,SUNLU PLA+2.0,19.88194265,38.71,769.63,Accidentally printed with lower layer height  0.12,,
1,13.291,5.855,14.341,6.282,1.619,SUNLU PLA+2.0,31.20377576,69.39,2165.23,yield,"total height of 25 mm, and a max width of 16 mm.",
2,18.942,3.029,10.134,1.534,0.039,SUNLU PLA+2.0,11.31012405,24.99,282.64,tipped,the design space is,
3,16.782,4.109,11.201,9.325,0.325,SUNLU PLA+2.0,27.89395049,68.27,1904.32,tipped with visible stretch marks,H+2h=25,
4,21.185,1.908,5.692,3.963,0.472,SUNLU PLA+2.0,3.781398506,29.46,111.4,tipped,b is between [0.8 and 16],
5,22.32,1.34,3.497,1.484,0.768,SUNLU PLA+2.0,0.9090909091,12.1,11,TIP,B is between [2.4 and 16],
6,13.741,5.63,13.969,3.324,3.963,SUNLU PLA+2.0,33.45237695,59.53,1991.42,yield then full snap,H is between [12 and 23.4],
7,16.055,4.472,6.339,5.823,0.227,SUNLU PLA+2.0,18.56908213,41.4,768.76,tipped with no visible yielding,"fillet radius r is between [0, (B-b)/2]",
9,22.791,1.105,15.497,2.213,0.296,SUNLU PLA+2.0,12.63511777,23.35,295.03,tip,,
10,20.379,2.31,8.583,1.102,3.524,SUNLU PLA+2.0,7.118158568,19.55,139.16,tip,100% infill,
11,22.485,1.258,14.106,8.513,2.728,SUNLU PLA+2.0,28.73499767,64.49,1853.12,tip+yield,standard print speeds,
12,12.307,6.347,8.087,3.443,1.481,SUNLU PLA+2.0,17.90680039,40.88,732.03,tip,"2 wall loops, 3 top bottom layers",
13,12.001,6.5,9.831,5.127,0.03,SUNLU PLA+2.0,27.90224698,52.07,1452.87,tip with a lil yield,#REF!,noise analysis: h2d black vs original potentially misaligned test (prolly not misaligned)
14,21.958,1.521,11.169,1.571,1.944,SUNLU PLA+2.0,8.638481013,19.75,170.61,,#REF!,
ucb exploit,13.68,5.66,16,3.68868,3.999,SUNLU PLA+2.0,31.93945752,66.73,2131.32,"yield, then explode",,
EI1,12.82482,6.08759,16,4.3619,3.983,SUNLU PLA+2.0,31.79234516,71.85,2284.28,"yield, then explode",,
ucb explore (green),14.182249,5.4088755,16,4.0387,3.359,SUNLU PLA+2.0,32.21644295,65.56,2112.11,"yield, then explode",,
DH 0 ei1,18.494161,3.25292,16,3.3182,3.993848,SUNLU PLA+2.0,27.7959482,47.88,1330.87,tip and snap across web,,
Dh -1 ei2,17.496791,3.751604,16,3.314385,3.99725,SUNLU PLA+2.0,30.12055911,51.51,1551.51,tip,,
DH -2 ei3,16.496642,4.251679,16,3.314601,3.998084,SUNLU PLA+2.0,30.72943327,54.7,1680.9,tip and snap across web,,
Test (orange H2D),14.182249,5.4088755,16,4.0387,3.359,,32.79134226,64.22,2105.86,,,
