Beam Number,b_web_mm,H_web_mm,Str/w N/g,Strength N,weight g,Column 1,Column 2
1,4.632,21.681,21.45090909,884.85,41.25,flange failed?,
2,2.832,18.694,25.56722789,1078.17,42.17,web shear,
3,6.778,17.522,29.95324074,1940.97,64.8,symmetic yield,
4,2.306,15.863,30.09799599,1501.89,49.9,explode,
5,7.342,19.837,28.65558961,1776.36,61.99,flange broke + tip,stand heavily bent after this one...?
6,4.284,12.067,31.2679701,2175,69.56,symmetric yield,
7,1.791,16.746,23.27450091,1025.94,44.08,web exploded from both flanges,
8,5.991,13.625,29.45232722,2088.17,70.9,,
9,5.343,21.108,25.7479097,1231.78,47.84,flange broke,
10,3.434,14.171,29.62716378,1780,60.08,web sheared off,
11,7.558,15.342,29.32198523,2144.61,73.14,yield symmetric,
12,1.017,22.181,9.782022472,174.12,17.8,web snapped,
